Order_ID,Customer_Name,Industry,Product,City_Province,Order_Date,Shipping_Date,Units_Sold,Price_per_Unit,Status
ORD202322,Walmart,Construction,,"Quebec City, Quebec",05/09/2023,2023-09-11,153,$211.83,Delivered
ORD202323,Cineplex,Construction,,"Edmonton, Alberta",2023-07-15,19-Jul-2023,128,48.95,Delivered
ORD202324,FIFA,Hospitality,LED Signage,"Vancouver, British Columbia",04/09/2023,07-Sep-2023,158,$389.83,Delivered
ORD202325,Lululemon,Construction,LED signage,"Toronto, Ontario",2023-08-13,2023-08-15,129,$370.21,Delivered
ORD202326,Lululemon,Construction,Acrylic Panel,"Halifax, Nova Scotia",18/11/2023,2023-11-19,156,$236.03,Delivered
ORD202327,FIFA,Sports,Banner Print,"Surrey, British Columbia",2023-04-26,30-Apr-2023,4,34.16,Processing
ORD202328,FIFA,Retail,Fabric Display," Winnipeg, Manitoba ",2023-06-11,2023-06-14,193,$488.54,Delivered
ORD202329,Rogers,Construction,,"Toronto, Ontario",02/12/2023,2023-12-03,42,$104.77,Processing
ORD202330,Walmart,Hospitality,LED signage,"Calgary, Alberta",2023-07-05,06-Jul-2023,162,$213.56,Shipped
ORD202331,Lululemon,Events,Banner Print,"Quebec City, Quebec",02/03/2023,04-Mar-2023,126,$391.61,Delivered
ORD202332,Cineplex,Events,LED signage,"Quebec City, Quebec",17/02/2023,2023-02-18,54,481.51,Delivered
ORD202333,Cineplex,Events,Fabric Display,"Mississauga, Ontario",08/06/2023,2023-06-11,45,397.42,Shipped
ORD202334,FIFA,Sports,,"Quebec City, Quebec",2023-10-19,21-Oct-2023,32,382.67,Shipped
ORD202335,Rogers,Hospitality,Lightbox Frame,"Brampton, Ontario",12/03/2023,18-Mar-2023,129,$270.29,Delivered
ORD202336,Cineplex,Construction,banner print," Winnipeg, Manitoba ",2023-11-20,2023-11-23,45,$385.81,Shipped
ORD202337,Lululemon,Construction,banner print,"Halifax, Nova Scotia",2023-03-21,2023-03-22,174,166.23,Delivered
ORD202338,Walmart,Sports,LED signage,"Vancouver, British Columbia",14/03/2023,2023-03-20,95,$455.08,Delivered
ORD202339,Bell,Construction,Banner Print,"Brampton, Ontario",07/10/2023,2023-10-09,64,$383.57,Delivered
ORD202340,Lululemon,Events,Fabric Display,"Brampton, Ontario",25/06/2023,29-Jun-2023,126,282.53,Shipped
ORD202341,Rogers,Retail,Banner Print,"Calgary, Alberta",2023-12-20,25-Dec-2023,162,403.52,Shipped
ORD202342,Adidas,Retail,Fabric Display," Winnipeg, Manitoba ",2023-01-06,2023-01-07,157,97.08,Processing
ORD202343,Walmart,Construction,LED Signage,"Brampton, Ontario",2023-05-11,2023-05-15,188,$271.56,Processing
ORD202344,Walmart,Hospitality,,"Mississauga, Ontario",26/01/2023,2023-01-27,122,$45.62,Delivered
ORD202345,Adidas,Construction,,"Halifax, Nova Scotia",06/11/2023,12-Nov-2023,83,$259.1,Processing
ORD202346,Lululemon,Sports,Fabric Display,"Montreal, Quebec",2023-01-22,23-Jan-2023,110,$49.26,Shipped
ORD202347,Rogers,Hospitality,Lightbox Frame,"Toronto, Ontario",2023-10-03,2023-10-09,154,285.18,Shipped
ORD202348,Bell,Hospitality,Fabric Display," Winnipeg, Manitoba ",25/02/2023,01-Mar-2023,33,$64.45,Processing
ORD202349,Cineplex,Construction,banner print,"Quebec City, Quebec",2023-12-24,2023-12-29,18,169.26,Processing
ORD202350,Walmart,Sports,LED Signage,"Montreal, Quebec",2023-01-22,27-Jan-2023,192,$144.23,Shipped
ORD202351,Walmart,Construction,Banner Print,"Mississauga, Ontario",13/07/2023,18-Jul-2023,22,$226.37,Shipped
ORD202352,FIFA,Construction,LED Signage,"Montreal, Quebec",2023-09-02,2023-09-08,12,166.59,Delivered
ORD202353,Rogers,Events,Lightbox Frame,"Calgary, Alberta",2023-10-18,20-Oct-2023,68,$448.65,Processing
ORD202354,FIFA,Retail,banner print,"Montreal, Quebec",23/12/2023,24-Dec-2023,3,$227.64,Shipped
ORD202355,FIFA,Sports,LED Signage,"Calgary, Alberta",2023-05-13,15-May-2023,137,299.13,Shipped
ORD202356,Bell,Events,banner print,"Calgary, Alberta",2023-12-19,21-Dec-2023,163,376.33,Processing
ORD202357,Bell,Sports,Fabric Display,"Mississauga, Ontario",2023-06-03,2023-06-06,107,$117.49,Delivered
ORD202358,Rogers,Construction,Fabric Display,"Mississauga, Ontario",2023-11-03,2023-11-06,70,38.99,Processing
ORD202359,Adidas,Hospitality,LED signage,"Mississauga, Ontario",2023-01-08,14-Jan-2023,154,151.94,Processing
ORD202360,Adidas,Construction,LED signage,"Montreal, Quebec",04/06/2023,2023-06-07,138,330.45,Delivered
ORD202361,Walmart,Events,LED signage,"Brampton, Ontario",2023-12-12,16-Dec-2023,92,$60.05,Processing
ORD202362,Adidas,Events,,"Mississauga, Ontario",04/03/2023,10-Mar-2023,123,$484.67,Processing
ORD202363,Nike,Construction,Lightbox Frame," Winnipeg, Manitoba ",16/07/2023,18-Jul-2023,185,$416.53,Delivered
ORD202364,Bell,Retail,banner print,"Halifax, Nova Scotia",04/03/2023,2023-03-09,80,$433.11,Processing
ORD202365,FIFA,Construction,Banner Print,"Vancouver, British Columbia",15/08/2023,2023-08-21,69,$266.46,Delivered
ORD202366,FIFA,Construction,,"Montreal, Quebec",23/07/2023,2023-07-26,103,$223.22,Shipped
ORD202367,Walmart,Construction,banner print,"Halifax, Nova Scotia",20/09/2023,2023-09-21,157,55.94,Processing
ORD202368,Adidas,Events,Fabric Display,"Edmonton, Alberta",2023-07-06,2023-07-07,158,62.65,Processing
ORD202369,Cineplex,Events,LED Signage,"Brampton, Ontario",03/02/2023,07-Feb-2023,122,312.11,Shipped
ORD202370,Lululemon,Retail,banner print,"Toronto, Ontario",19/08/2023,2023-08-21,110,$131.14,Shipped
ORD202371,Nike,Sports,LED Signage," Winnipeg, Manitoba ",2023-08-19,20-Aug-2023,93,390.07,Shipped
ORD202372,Bell,Sports,Lightbox Frame,"Mississauga, Ontario",2023-02-28,2023-03-06,69,416.29,Processing
ORD202373,Nike,Sports,LED Signage,"Calgary, Alberta",20/01/2023,2023-01-21,136,452.48,Processing
ORD202374,Nike,Sports,LED Signage,"Calgary, Alberta",2023-02-17,20-Feb-2023,140,$45.21,Shipped
ORD202375,Bell,Hospitality,Lightbox Frame,"Montreal, Quebec",2023-06-20,22-Jun-2023,161,15.73,Shipped
ORD202376,Nike,Events,LED signage,"Surrey, British Columbia",2023-10-22,28-Oct-2023,117,60.82,Processing
ORD202377,Bell,Construction,banner print," Winnipeg, Manitoba ",05/01/2023,2023-01-06,62,266.92,Shipped
ORD202378,Rogers,Events,LED signage,"Edmonton, Alberta",2023-01-12,17-Jan-2023,199,$428.6,Delivered
ORD202379,Bell,Construction,Lightbox Frame,"Surrey, British Columbia",2023-10-22,2023-10-26,110,$250.16,Delivered
ORD202380,Rogers,Retail,Banner Print,"Halifax, Nova Scotia",08/01/2023,14-Jan-2023,48,$245.76,Processing
ORD202381,Bell,Hospitality,LED signage,"Edmonton, Alberta",2023-06-10,2023-06-13,1,$51.44,Shipped
ORD202382,FIFA,Construction,,"Quebec City, Quebec",30/01/2023,02-Feb-2023,5,343.47,Shipped
ORD202383,Lululemon,Events,Lightbox Frame,"Halifax, Nova Scotia",29/08/2023,01-Sep-2023,193,$204.77,Processing
ORD202384,Walmart,Construction,Acrylic Panel,"Edmonton, Alberta",2023-05-22,2023-05-23,23,202.75,Processing
ORD202385,Adidas,Hospitality,,"Edmonton, Alberta",2023-11-05,2023-11-08,80,262.57,Processing
ORD202386,Cineplex,Construction,LED signage,"Edmonton, Alberta",2023-12-13,2023-12-17,8,$481.12,Shipped
ORD202387,Bell,Sports,LED Signage,"Edmonton, Alberta",2023-11-04,10-Nov-2023,105,$389.6,Processing
ORD202388,Cineplex,Events,LED signage,"Mississauga, Ontario",2023-10-02,2023-10-07,15,$252.94,Shipped
ORD202389,Adidas,Construction,LED signage,"Quebec City, Quebec",2023-10-10,2023-10-16,68,$275.87,Shipped
ORD202390,Lululemon,Events,LED Signage,"Mississauga, Ontario",18/08/2023,19-Aug-2023,197,391.65,Delivered
ORD202391,Lululemon,Construction,Fabric Display,"Calgary, Alberta",18/03/2023,22-Mar-2023,189,62.01,Processing
ORD202392,Nike,Sports,banner print,"Toronto, Ontario",2023-02-14,16-Feb-2023,91,$397.01,Shipped
ORD202393,Rogers,Hospitality,LED Signage,"Surrey, British Columbia",2023-07-13,2023-07-17,79,$87.52,Shipped
ORD202394,Adidas,Construction,Lightbox Frame,"Halifax, Nova Scotia",2023-07-10,12-Jul-2023,39,$495.08,Shipped
ORD202395,Cineplex,Construction,LED Signage,"Mississauga, Ontario",21/04/2023,24-Apr-2023,141,$22.64,Processing
ORD202396,Lululemon,Events,Fabric Display,"Mississauga, Ontario",16/08/2023,20-Aug-2023,144,$16.13,Delivered
ORD202397,Bell,Sports,banner print,"Calgary, Alberta",14/08/2023,2023-08-20,178,$42.13,Processing
ORD202398,Walmart,Construction,Banner Print,"Edmonton, Alberta",12/09/2023,16-Sep-2023,151,241.68,Processing
ORD202399,Nike,Construction,LED signage," Winnipeg, Manitoba ",18/06/2023,20-Jun-2023,119,$143.43,Processing
ORD2023100,Lululemon,Retail,Fabric Display,"Surrey, British Columbia",2023-12-11,14-Dec-2023,143,$96.41,Processing
ORD2023101,Cineplex,Sports,LED signage,"Surrey, British Columbia",20/03/2023,2023-03-25,189,456.66,Delivered
ORD2023102,Adidas,Sports,LED signage,"Halifax, Nova Scotia",2023-12-12,2023-12-17,99,487.93,Shipped
ORD2023103,Rogers,Construction,LED signage,"Edmonton, Alberta",2023-03-21,2023-03-26,84,121.87,Delivered
ORD2023104,Rogers,Retail,LED Signage,"Mississauga, Ontario",2023-10-29,2023-10-31,17,66.87,Delivered
ORD2023105,Nike,Events,Acrylic Panel,"Toronto, Ontario",2023-06-25,29-Jun-2023,17,468.08,Delivered
ORD2023106,Cineplex,Retail,banner print,"Brampton, Ontario",16/05/2023,2023-05-20,29,62.2,Shipped
ORD2023107,Cineplex,Events,banner print,"Surrey, British Columbia",03/01/2023,2023-01-09,32,$491.13,Processing
ORD2023108,Walmart,Retail,Fabric Display,"Quebec City, Quebec",2023-06-16,19-Jun-2023,190,357.94,Shipped
ORD2023109,Lululemon,Sports,Banner Print,"Halifax, Nova Scotia",31/03/2023,05-Apr-2023,91,$45.01,Processing
ORD2023110,Walmart,Sports,LED Signage," Winnipeg, Manitoba ",2023-05-09,10-May-2023,76,74.83,Shipped
ORD2023111,Nike,Construction,Lightbox Frame,"Edmonton, Alberta",2023-12-22,24-Dec-2023,131,28.87,Processing
ORD2023112,Nike,Events,banner print,"Calgary, Alberta",10/11/2023,2023-11-14,70,$421.99,Processing
ORD2023113,Bell,Events,,"Halifax, Nova Scotia",2023-03-18,23-Mar-2023,57,$156.01,Delivered
ORD2023114,Adidas,Hospitality,Acrylic Panel,"Montreal, Quebec",2023-03-04,2023-03-09,19,$259.76,Delivered
ORD2023115,Nike,Construction,Lightbox Frame,"Mississauga, Ontario",10/11/2023,12-Nov-2023,34,$217.21,Shipped
ORD2023116,Adidas,Hospitality,LED signage,"Calgary, Alberta",2023-07-20,2023-07-23,194,$28.83,Shipped
ORD2023117,Walmart,Sports,Banner Print,"Mississauga, Ontario",2023-08-03,07-Aug-2023,60,$142.72,Shipped
ORD2023118,FIFA,Construction,Fabric Display,"Toronto, Ontario",2023-09-26,30-Sep-2023,153,388.08,Processing
ORD2023119,Rogers,Hospitality,Acrylic Panel,"Brampton, Ontario",2023-09-29,2023-10-03,178,314.34,Delivered
ORD2023120,Lululemon,Construction,Fabric Display,"Surrey, British Columbia",2023-11-06,2023-11-12,23,$103.77,Processing
ORD2023121,Lululemon,Hospitality,banner print,"Mississauga, Ontario",15/06/2023,2023-06-20,41,302.01,Delivered
ORD2023122,FIFA,Hospitality,banner print,"Vancouver, British Columbia",07/04/2023,2023-04-13,19,$26.93,Delivered
ORD2023123,Lululemon,Hospitality,Banner Print,"Mississauga, Ontario",2023-12-15,2023-12-17,159,$223.15,Delivered
ORD2023124,FIFA,Events,LED Signage,"Calgary, Alberta",01/11/2023,2023-11-06,199,$11.22,Delivered
ORD2023125,Lululemon,Hospitality,banner print,"Mississauga, Ontario",04/02/2023,2023-02-05,71,290.52,Processing
ORD2023126,Lululemon,Events,Banner Print," Winnipeg, Manitoba ",06/11/2023,11-Nov-2023,113,$276.75,Processing
ORD2023127,Walmart,Events,Fabric Display,"Quebec City, Quebec",2023-10-21,27-Oct-2023,123,155.26,Processing
ORD2023128,Bell,Retail,Acrylic Panel,"Vancouver, British Columbia",06/10/2023,2023-10-07,7,$89.1,Shipped
ORD2023129,Nike,Construction,Banner Print,"Toronto, Ontario",17/01/2023,22-Jan-2023,71,181.78,Shipped
ORD2023130,Rogers,Hospitality,LED Signage,"Toronto, Ontario",2023-06-24,2023-06-26,33,227.79,Shipped
ORD2023131,Cineplex,Hospitality,Acrylic Panel,"Toronto, Ontario",20/02/2023,2023-02-22,76,$477.8,Shipped
ORD2023132,Cineplex,Sports,banner print,"Surrey, British Columbia",20/12/2023,25-Dec-2023,38,$252.34,Shipped
ORD2023133,Rogers,Hospitality,Lightbox Frame,"Montreal, Quebec",05/04/2023,2023-04-10,84,$114.19,Delivered
ORD2023134,Lululemon,Retail,LED Signage,"Toronto, Ontario",2023-09-13,18-Sep-2023,18,12.03,Processing
ORD2023135,Lululemon,Hospitality,banner print,"Halifax, Nova Scotia",28/07/2023,2023-07-30,58,$24.34,Processing
ORD2023136,Rogers,Hospitality,Lightbox Frame,"Halifax, Nova Scotia",01/12/2023,02-Dec-2023,179,$411.35,Shipped
ORD2023137,Walmart,Construction,,"Surrey, British Columbia",11/12/2023,14-Dec-2023,115,$227.19,Delivered
ORD2023138,Cineplex,Construction,LED signage,"Surrey, British Columbia",2023-10-16,19-Oct-2023,66,164.89,Delivered
ORD2023139,FIFA,Sports,Acrylic Panel,"Halifax, Nova Scotia",28/04/2023,2023-05-03,200,$185.95,Delivered
ORD2023140,Nike,Events,Banner Print," Winnipeg, Manitoba ",23/04/2023,2023-04-27,187,377.73,Delivered
ORD2023141,Lululemon,Hospitality,,"Halifax, Nova Scotia",2023-08-17,2023-08-21,83,343.43,Delivered
ORD2023142,Lululemon,Hospitality,,"Toronto, Ontario",2023-01-19,2023-01-24,142,23.08,Shipped
ORD2023143,Rogers,Hospitality,LED signage,"Calgary, Alberta",2023-08-18,2023-08-21,140,$357.37,Processing
ORD2023144,Rogers,Construction,,"Brampton, Ontario",16/11/2023,21-Nov-2023,4,$90.87,Processing
ORD2023145,Adidas,Construction,Fabric Display,"Surrey, British Columbia",07/04/2023,08-Apr-2023,145,84.75,Delivered
ORD2023146,Adidas,Events,Acrylic Panel,"Edmonton, Alberta",18/10/2023,21-Oct-2023,160,$95.96,Delivered
ORD2023147,Lululemon,Sports,LED Signage,"Brampton, Ontario",2023-03-04,05-Mar-2023,176,$478.7,Delivered
ORD2023148,Nike,Sports,Acrylic Panel," Winnipeg, Manitoba ",17/01/2023,20-Jan-2023,171,$94.47,Delivered
ORD2023149,Rogers,Retail,LED Signage,"Montreal, Quebec",07/05/2023,2023-05-10,117,$367.72,Processing
ORD2023150,Walmart,Construction,Lightbox Frame,"Quebec City, Quebec",2023-08-17,2023-08-18,40,$168.21,Shipped
ORD2023151,FIFA,Events,Lightbox Frame," Winnipeg, Manitoba ",29/09/2023,02-Oct-2023,199,$408.71,Shipped
ORD2023152,Rogers,Retail,Fabric Display,"Toronto, Ontario",11/07/2023,2023-07-14,56,344.92,Processing
ORD2023153,Rogers,Events,banner print,"Brampton, Ontario",2023-10-21,24-Oct-2023,7,$205.4,Shipped
ORD2023154,Nike,Retail,Acrylic Panel,"Vancouver, British Columbia",2023-11-12,2023-11-18,116,$193.6,Processing
ORD2023155,Nike,Events,banner print,"Halifax, Nova Scotia",2023-01-04,2023-01-07,95,247.86,Processing
ORD2023156,Lululemon,Retail,banner print,"Halifax, Nova Scotia",2023-12-04,2023-12-07,16,234.85,Delivered
ORD2023157,Rogers,Hospitality,,"Vancouver, British Columbia",2023-06-19,21-Jun-2023,120,82.7,Delivered
ORD2023158,Nike,Hospitality,Lightbox Frame,"Calgary, Alberta",2023-12-23,2023-12-28,14,327.38,Shipped
ORD2023159,Nike,Events,banner print,"Brampton, Ontario",2023-02-28,2023-03-01,98,68.3,Processing
ORD2023160,FIFA,Hospitality,LED signage,"Mississauga, Ontario",2023-05-29,01-Jun-2023,114,393.54,Delivered
ORD2023161,FIFA,Events,LED Signage,"Montreal, Quebec",26/06/2023,02-Jul-2023,131,373.33,Processing
ORD2023162,Lululemon,Sports,banner print,"Brampton, Ontario",2023-04-08,2023-04-11,182,$316.57,Processing
ORD2023163,Bell,Sports,,"Toronto, Ontario",2023-05-20,22-May-2023,74,$343.51,Delivered
ORD2023164,Lululemon,Events,LED signage,"Edmonton, Alberta",02/05/2023,2023-05-07,84,389.3,Processing
ORD2023165,Nike,Hospitality,Fabric Display,"Montreal, Quebec",17/01/2023,18-Jan-2023,63,228.65,Processing
ORD2023166,Walmart,Construction,Acrylic Panel,"Calgary, Alberta",2023-02-09,2023-02-15,119,$172.72,Shipped
ORD2023167,Lululemon,Sports,,"Edmonton, Alberta",11/02/2023,12-Feb-2023,51,$198.07,Processing
ORD2023168,Adidas,Construction,banner print," Winnipeg, Manitoba ",2023-11-25,2023-11-27,91,267.75,Processing
ORD2023169,Nike,Construction,Acrylic Panel,"Montreal, Quebec",2023-03-06,2023-03-11,32,424.85,Processing
ORD2023170,Walmart,Sports,Lightbox Frame,"Surrey, British Columbia",2023-07-28,29-Jul-2023,140,452.33,Processing
ORD2023171,Walmart,Events,banner print,"Vancouver, British Columbia",2023-07-13,16-Jul-2023,149,$179.86,Processing
ORD2023172,Lululemon,Events,Fabric Display,"Montreal, Quebec",2023-01-26,27-Jan-2023,57,104.04,Processing
ORD2023173,Rogers,Hospitality,Banner Print,"Vancouver, British Columbia",2023-11-23,2023-11-24,185,390.88,Processing
ORD2023174,Bell,Hospitality,Lightbox Frame,"Toronto, Ontario",08/11/2023,09-Nov-2023,92,213.28,Shipped
ORD2023175,Adidas,Hospitality,Fabric Display,"Brampton, Ontario",2023-05-25,30-May-2023,83,372.64,Delivered
ORD2023176,Rogers,Sports,Fabric Display,"Mississauga, Ontario",2023-05-23,2023-05-26,2,$177.39,Delivered
ORD2023177,Adidas,Events,banner print,"Surrey, British Columbia",2023-02-21,23-Feb-2023,76,$335.42,Shipped
ORD2023178,Nike,Sports,banner print,"Toronto, Ontario",08/09/2023,2023-09-12,46,$106.26,Shipped
ORD2023179,Adidas,Events,,"Mississauga, Ontario",09/11/2023,11-Nov-2023,186,$119.02,Processing
ORD2023180,Nike,Sports,Banner Print,"Mississauga, Ontario",17/10/2023,2023-10-23,137,$286.71,Shipped
ORD2023181,Cineplex,Sports,Lightbox Frame,"Toronto, Ontario",2023-08-31,2023-09-04,187,$238.8,Shipped
ORD2023182,Cineplex,Sports,LED signage," Winnipeg, Manitoba ",28/03/2023,2023-04-01,65,473.35,Delivered
ORD2023183,Walmart,Hospitality,Fabric Display,"Vancouver, British Columbia",2023-01-17,22-Jan-2023,90,$394.42,Delivered
ORD2023184,Adidas,Retail,Fabric Display,"Vancouver, British Columbia",11/10/2023,2023-10-17,74,$120.36,Shipped
ORD2023185,Walmart,Construction,LED signage,"Surrey, British Columbia",11/10/2023,2023-10-14,59,$175.86,Shipped
ORD2023186,Bell,Retail,banner print,"Halifax, Nova Scotia",02/08/2023,2023-08-04,25,95.54,Shipped
ORD2023187,Nike,Retail,LED Signage,"Edmonton, Alberta",2023-08-29,2023-09-02,169,$73.15,Delivered
ORD2023188,Adidas,Hospitality,," Winnipeg, Manitoba ",29/09/2023,03-Oct-2023,180,72.42,Processing
ORD2023189,Cineplex,Events,Fabric Display,"Calgary, Alberta",2023-02-06,2023-02-11,34,$247.33,Processing
ORD2023190,Walmart,Construction,,"Edmonton, Alberta",2023-10-06,08-Oct-2023,120,119.14,Delivered
ORD2023191,Walmart,Hospitality,LED signage,"Surrey, British Columbia",2023-05-09,2023-05-13,165,$420.26,Processing
ORD2023192,Walmart,Hospitality,Lightbox Frame," Winnipeg, Manitoba ",13/08/2023,2023-08-14,86,$314.72,Shipped
ORD2023193,Rogers,Sports,Fabric Display,"Calgary, Alberta",2023-12-13,2023-12-14,39,$328.38,Shipped
ORD2023194,FIFA,Hospitality,Banner Print,"Mississauga, Ontario",2023-01-25,2023-01-27,11,498.09,Processing
ORD2023195,Bell,Sports,,"Edmonton, Alberta",14/09/2023,2023-09-18,181,$339.94,Delivered
ORD2023196,Cineplex,Retail,Acrylic Panel,"Surrey, British Columbia",02/10/2023,2023-10-03,33,$143.52,Processing
ORD2023197,FIFA,Sports,Lightbox Frame,"Brampton, Ontario",2023-08-08,2023-08-10,150,27.32,Delivered
ORD2023198,FIFA,Construction,Banner Print,"Surrey, British Columbia",02/04/2023,06-Apr-2023,72,243.15,Processing
ORD2023199,Walmart,Sports,LED Signage,"Toronto, Ontario",2023-03-02,06-Mar-2023,79,281.56,Processing
ORD2023200,FIFA,Construction,," Winnipeg, Manitoba ",19/10/2023,22-Oct-2023,133,$490.08,Shipped
ORD2023201,Walmart,Events,,"Quebec City, Quebec",2023-12-08,2023-12-14,145,261.3,Shipped
ORD2023202,Bell,Construction,banner print,"Edmonton, Alberta",2023-03-21,23-Mar-2023,148,$395.14,Processing
ORD2023203,Rogers,Hospitality,Lightbox Frame,"Mississauga, Ontario",13/11/2023,15-Nov-2023,79,229.87,Shipped
ORD2023204,FIFA,Hospitality,LED signage," Winnipeg, Manitoba ",04/03/2023,2023-03-05,172,$360.41,Shipped
ORD2023205,Rogers,Sports,LED Signage,"Surrey, British Columbia",14/02/2023,2023-02-17,176,43.83,Delivered
ORD2023206,Bell,Events,Fabric Display,"Montreal, Quebec",2023-11-28,2023-11-29,190,111.08,Shipped
ORD2023207,Bell,Construction,banner print,"Vancouver, British Columbia",2023-01-04,2023-01-09,136,463.23,Delivered
ORD2023208,Adidas,Sports,,"Montreal, Quebec",2023-11-18,2023-11-22,64,$215.43,Delivered
ORD2023209,FIFA,Retail,Fabric Display," Winnipeg, Manitoba ",2023-03-27,28-Mar-2023,100,$380.78,Processing
ORD2023210,Adidas,Sports,banner print,"Vancouver, British Columbia",2023-06-10,11-Jun-2023,36,$201.9,Shipped
ORD2023211,Walmart,Construction,LED signage,"Brampton, Ontario",2023-01-29,2023-02-01,135,$14.13,Shipped
ORD2023212,Walmart,Hospitality,Fabric Display,"Edmonton, Alberta",24/11/2023,25-Nov-2023,188,22.12,Processing
ORD2023213,Nike,Hospitality,banner print,"Montreal, Quebec",2023-03-30,2023-03-31,168,356.66,Processing
ORD2023214,Bell,Construction,LED Signage,"Toronto, Ontario",2023-07-04,07-Jul-2023,122,341.44,Processing
ORD2023215,Rogers,Events,Lightbox Frame,"Calgary, Alberta",03/02/2023,2023-02-05,62,$90.56,Delivered
ORD2023216,Nike,Construction,Banner Print," Winnipeg, Manitoba ",2023-09-09,10-Sep-2023,117,120.21,Shipped
ORD2023217,Cineplex,Construction,LED signage,"Halifax, Nova Scotia",25/05/2023,2023-05-27,172,350.99,Delivered
ORD2023218,Rogers,Events,LED Signage,"Calgary, Alberta",11/11/2023,15-Nov-2023,21,363.29,Shipped
ORD2023219,Adidas,Events,Lightbox Frame,"Toronto, Ontario",2023-12-25,27-Dec-2023,144,$432.0,Delivered
ORD2023220,Lululemon,Sports,Acrylic Panel,"Toronto, Ontario",15/12/2023,2023-12-20,74,$419.01,Delivered
ORD2023221,Bell,Construction,Acrylic Panel," Winnipeg, Manitoba ",2023-11-26,2023-11-27,28,$94.53,Shipped
ORD2023222,Bell,Hospitality,banner print,"Vancouver, British Columbia",02/02/2023,08-Feb-2023,5,425.86,Processing
ORD2023223,Adidas,Hospitality,banner print,"Vancouver, British Columbia",25/04/2023,2023-04-29,197,195.63,Shipped
ORD2023224,Cineplex,Sports,LED signage,"Vancouver, British Columbia",16/05/2023,2023-05-22,117,$125.04,Delivered
ORD2023225,Adidas,Construction,Acrylic Panel,"Calgary, Alberta",2023-06-30,03-Jul-2023,70,359.45,Processing
ORD2023226,FIFA,Retail,Banner Print,"Quebec City, Quebec",2023-06-28,2023-07-03,168,415.7,Delivered
ORD2023227,Walmart,Sports,LED Signage,"Surrey, British Columbia",07/12/2023,12-Dec-2023,73,$497.1,Processing
ORD2023228,Lululemon,Events,Banner Print,"Edmonton, Alberta",24/01/2023,2023-01-28,165,25.54,Shipped
ORD2023229,FIFA,Retail,LED signage,"Mississauga, Ontario",26/04/2023,02-May-2023,124,177.91,Shipped
ORD2023230,Walmart,Events,,"Quebec City, Quebec",2023-04-18,22-Apr-2023,166,135.49,Delivered
ORD2023231,Adidas,Hospitality,LED signage,"Toronto, Ontario",13/05/2023,2023-05-16,18,158.86,Processing
ORD2023232,Bell,Sports,Banner Print,"Calgary, Alberta",11/06/2023,15-Jun-2023,100,$17.18,Processing
